,gmap_id,Nombre,Estado,Promedio,Valoraciones,Categoria1,Categoria2,Categoria3,Categoria4,Categoria5,Takeout,Delivery,Asientos Discapacitados,Estacionamiento Discapacitados,Almuerzo,Cena,Comer Solo,Grupos,Turistas,Debito,NFC,Credito,Servicio Rapido
130,0x864123bcd3e4d6a7:0xbe8b533e9d1301b1,Rasoi,Texas,3.9,146.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
141,0x8640dd0066670753:0x4830f682babf5f57,Rannaghor - Kabab & Biryani House,Texas,4.5,48.0,4.0,65.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
162,0x864dd7de70aa1953:0xb5b1bc7e88e257a2,F2 - Fusion Flavors Indian Cuisine,Texas,4.7,204.0,61.0,21.0,159.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
195,0x864c19464825feeb:0x880622dab87a392,Las Maria's,Texas,4.8,28.0,163.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200,0x864e6f9e1bd4e8df:0xccb998248e547c0f,Afghan Cuisine,Texas,4.8,67.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
210,0x864e71b46501088d:0x3ab1cd41e688d101,Toro Toro Fort Worth,Texas,4.5,138.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
214,0x8640d0b340db30f1:0x6dbfbdd47f82efc3,Aguirre's Tex-Mex Copperfield Location,Texas,4.4,668.0,21.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
217,0x864e992406e09d55:0xf01441ba507d0521,San Salvaje by Stephan Pyles has closed.,Texas,4.1,15.0,33.0,106.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,0x864e9bc54fc2ed8f:0xbabc20b14c44ad56,Furlough Brothers Dallas Cheesesteaks,Texas,4.6,34.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
261,0x8649cc4957251e8d:0x1998f399f9283df4,Kublai Khan Mongolian Grill & Sushi,Texas,4.0,28.0,159.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,0x86412121cb92a729:0xaae26ea2b5efaac0,Pablo's Restaurant and Club,Texas,4.5,498.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
290,0x8640bf410345daa3:0x45a8d6b3cf5e6ecc,Laurenzo's Bar & Grill,Texas,4.5,38.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
308,0x864e996769e66679:0x4cfd5310ec7b4349,Amberjax Fish Market Grille,Texas,4.4,685.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
322,0x8644d3fce5a1b60d:0xc53e8186484e4cc7,Wok To Go,Texas,4.4,18.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
337,0x864e76abfa9d167d:0x62d2cab401d18dda,Byblos Mediterranean Lebanese Restaurant and Hookah Lounge/catering,Texas,4.2,523.0,32.0,159.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
338,0x864ea6820422bec9:0x2f1cfc2b7c1d9a18,Iron Chefs,Texas,2.9,45.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347,0x8651b1b8a7270df9:0x9f1a9aa3622c5290,Crazy Thai Cuisine,Texas,4.1,93.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
355,0x864126dda2fb8895:0xd9b867b85dfd293,Aromas Latin Cuisine & Wine Bar,Texas,4.6,28.0,21.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
371,0x864c1e11516c2a9b:0x3b4ee547eccc8cf0,7 Mares,Texas,3.9,218.0,37.0,32.0,11.0,48.0,14.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
400,0x8665a770910baced:0x7f0955b948b6f819,P.F. Chang's,Texas,4.6,1526.0,159.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
405,0x8644b5a200f06515:0x5a29530c90e3ec00,Mumtaz Market by G Raj Mahal,Texas,4.5,38.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
406,0x864e883000000001:0xc9d9b6a0ffa2b6a,P.F. Chang's,Texas,4.2,1255.0,181.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
409,0x8640c0f5c645a0e1:0xbb3f6cf4afdea6ef,Christians Tailgate Bar & Grill,Texas,4.3,484.0,159.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
418,0x864c18de77a3313b:0xbc489ff398bf16cb,Smokin Racks Sports Bar Bq,Texas,3.0,4.0,163.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
427,0x864e91c81a7d20c3:0x3eab5c32125dd63b,Waikiki Teriyaki,Texas,4.6,95.0,35.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
434,0x8644b5b5aaaaaaab:0xb3104136f6f7b736,East Side Food Park,Texas,4.7,38.0,32.0,48.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
436,0x864ea3727e5d3615:0x6c13eb6727212667,Pizza Y Tacos El Rancho,Texas,4.5,137.0,159.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
442,0x86346bab190b2ec1:0x4c14fe14710fc040,Subies Deli & Grill,Texas,4.6,27.0,48.0,35.0,159.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
444,0x8640c3e4517a29bb:0xbf5e0deaa5d1d89,Al Noor grill & cafe,Texas,4.8,68.0,163.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
446,0x86474ba4030d0ca9:0x308c187be55ba01b,My Protein Grill,Texas,4.8,25.0,48.0,35.0,159.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
448,0x8640dcedefbd31b3:0x5800e5174c9fe02,Fish Skillet Seafood,Texas,4.2,378.0,48.0,35.0,159.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
450,0x8640d37b2fc03077:0xf00f6dc9e6e1f15,H-E-B Café,Texas,3.6,5.0,139.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
453,0x865c651422ed2937:0xe6413e4c2ffa08be,H-E-B Caf,Texas,4.2,5.0,65.0,159.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
456,0x865c5f61c28d0bab:0xb48f1ce48a78a80,NOLA Brunch & Beignets,Texas,4.4,1128.0,159.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
458,0x863f7d357ee0f203:0xf20f1e22da34b695,H-E-B Café,Texas,4.3,33.0,26.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
467,0x8640d9d0d8108887:0x6c94caa3ce7e55b5,Celli Deli,Texas,4.9,68.0,48.0,35.0,159.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
495,0x8640c0f18c0b78c3:0x7c54a4c449f5e50c,The Queen Vic Pub & Kitchen,Texas,4.2,298.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
496,0x8640b8af253d4dc9:0xe85e5fc82facb240,BB's Tex-Orleans,Texas,4.3,2720.0,4.0,34.0,35.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
498,0x8661210db913a911:0x955b1d69938bc72b,Culture Social Bar,Texas,4.2,56.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
502,0x865b39708022325d:0xc54ee183d9ac3ef8,China Steakhouse,Texas,4.3,26.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
513,0x8640bf3e044a9679:0x5e18a0fd6dec53b5,The Oyster Bar at Prohibition,Texas,3.8,28.0,159.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535,0x864e7f9111f09351:0xb7d3d20a96f142d6,Jan Thai Kitchen,Texas,5.0,17.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
549,0x864736c65441ee51:0xceda0ec350fa3338,The Counter Custom Burgers,Texas,3.5,118.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
568,0x8644cf2b7329dadf:0x7ae7102142ca326a,Royal Chenab,Texas,4.0,95.0,148.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
647,0x864ddb3a83b59775:0xef6b57055516d576,The Great American Steak & More,Texas,4.2,18.0,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
654,0x864c20e40700ba67:0xb218a55caf3460e2,Thai Tanee Cafe,Texas,3.8,38.0,48.0,35.0,159.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
663,0x864c3cee35d98349:0x96e29938dd03d0f0,Chopsticks Asian Noodle & Grill,Texas,4.1,35.0,21.0,159.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
667,0x864e80e50dc51609:0x2904e9121e383fca,Pho Kobee,Texas,4.1,487.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
669,0x864c213c495a8ba9:0x25a5bf3f91287987,Bangkok Thai Restaurant,Texas,3.9,48.0,48.0,32.0,59.0,159.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
685,0x864c3cec40af3717:0x5501dc69e5f7c6ae,Kitchen 7,Texas,4.7,6.0,159.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
694,0x8640d0b2cac1e671:0x1fe18822bcdc23af,ONE Noodles and Grill,Texas,4.2,55.0,159.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,0x8644aff1f8e59ef1:0xfe4ffbfc01969837,Cheddar's Scratch Kitchen,Texas,4.4,548.0,4.0,34.0,35.0,159.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
701,0x864c2ad50ab74cfb:0x18c94f457f5836d1,Cultural Catch,Texas,3.9,28.0,48.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
709,0x865c5cca6bfb7587:0x243af2e45c31ff38,Genghis Grill,Texas,3.8,998.0,21.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
715,0x864c219f724cac25:0x38cf9fdda43c0f0,Bonchon Addison,Texas,3.7,78.0,86.0,159.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
716,0x864ea42987522575:0xe160ce5722ba9624,Genghis Grill,Texas,4.1,1724.0,17.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
724,0x864120c9916e5995:0xd5a7397541fd441f,Red Oak Grill,Texas,4.2,48.0,159.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
739,0x8640e79cca57965f:0xa8dc06b941db6c08,Chill & Grill Mediterranean food,Texas,4.8,48.0,159.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
749,0x8640dc7cd56a0be3:0x38dd77d767d868f5,Shawarma Grill & Cafe,Texas,4.4,483.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
752,0x864e9f26a9ab1ecd:0xda6854935ec2621f,Fadi's Mediterranean Grill,Texas,4.3,1471.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
766,0x8644cd2d57dbe79d:0xdc62da8c3ea923e1,Pei Wei Asian Diner,Texas,3.5,245.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
783,0x864ea5d70be3ac85:0x7cc280b4d43bdc37,Chi's Wok,Texas,4.4,153.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
817,0x864c2ee39e56010d:0x6999c0a5cf632be8,Mimi's Cafe,Texas,4.1,8.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836,0x8640c3d722d3ef01:0xd62980dd1e149b9a,Chai Khana,Texas,4.7,98.0,159.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
853,0x8640e1aabd28a3b9:0x45adac34298217ff,Chippy’s Restaurant,Texas,4.1,84.0,21.0,35.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
862,0x865b4d29b3d75de3:0xe46295bc2f669d8c,Jaipur Palace - Austin,Texas,4.5,433.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
866,0x864c174cc7736ea9:0xd99f01df6d6ebd87,VISHNUJI KI RASOI,Texas,4.1,84.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
876,0x864e73bc83d8989d:0xb469aafb639fc6ce,Shawarma Bar - Food Hall at Crockett Rowe,Texas,4.6,18.0,32.0,48.0,35.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
877,0x864c2928d6e43fbf:0x7b8d2ac4e582c67,Rozana Market and Restaurant,Texas,4.6,368.0,31.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
882,0x864c1f74a456ec79:0x9adae50fb043da64,Shamm Mediterranean Cuisine,Texas,4.6,56.0,159.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
886,0x8640c1e891f12457:0x5a05bd1c00184ec5,Fadi's Meyerland Mediterranean Grill,Texas,4.6,2717.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
889,0x8640bf9a80d0f695:0x60db567f0ffcea71,Marketplace Cafe,Texas,3.9,35.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
890,0x864c21341a1abd51:0xc8b8f926390e81b4,Sanabels Mediterranean,Texas,4.2,1254.0,163.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
913,0x8644b57f7d0e4d17:0xf8c5f979643c7794,Yalla Burgers & Wings Halal,Texas,4.3,158.0,17.0,47.0,121.0,35.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
938,0x864e835a520c8c27:0x29df3ec24954991,Crepiano Cafe,Texas,4.6,123.0,134.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
969,0x8640c55a29470d0b:0x3e3d76450269c775,Deens Cheesesteak & Pizza,Texas,4.7,85.0,157.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
1001,0x865b30b34034397f:0xade84f58c61bd67e,Java Dive Organic Cafe - Mediterranean Restaurant,Texas,4.5,88.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1011,0x864dd48ceccad0df:0x193e1974aba84c4b,Taco Diner,Texas,3.4,8.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1019,0x864681ae3d191bd7:0x316c3054b21784bd,Delicias Tex Mex,Texas,3.8,26.0,31.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1027,0x8640bf63cf51970b:0x1931d867250bf4a8,Yucatan Taco Stand Tequila Bar & Grill,Texas,4.1,58.0,21.0,191.0,64.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1050,0x86452f7edf21039d:0x384cdc5bacefca4f,Pizza Inn Express,Texas,2.0,8.0,61.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1053,0x864fc3db357f9b53:0x8824ff1ae95028d4,Pizza Inn Express,Texas,5.0,1.0,32.0,48.0,35.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1066,0x8643011f39c00001:0x56d6ad2d7606dd2d,Mimi's Kitchen,Texas,4.4,48.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1067,0x864d01d2fb2d3d57:0x976135cd2c7ab3fa,Asian buffet,Texas,4.8,167.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1071,0x86412716af1deb69:0xbc3c6013719e6f5d,Landry's Seafood House,Texas,4.1,1001.0,4.0,65.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
1107,0x864e7dd7439ccd71:0xafd6963f0101706e,Cartel Taco Bar,Texas,4.3,494.0,163.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1117,0x864e6df8f9d99bd5:0x240ca61d2036a9ff,Sona Taqueria,Texas,4.7,8.0,48.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1126,0x8640c1ef6d94b26f:0xa0cfb652de201f2f,Russo's New York Pizzeria & Italian Kitchen,Texas,4.2,323.0,159.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1127,0x865c67c0226b583d:0x1e5c2de02c35dd89,Sweet Paris Crêperie & Café,Texas,4.5,458.0,78.0,77.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
1133,0x8640dcea702143c1:0xa6dcf15f00acf601,Russo's New York Pizzeria & Italian Kitchen,Texas,3.0,37.0,159.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1141,0x864e62dc7417fd71:0xdebb65f3a1dede3a,Dickey's Barbecue Pit,Texas,2.9,33.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
1144,0x865cf33cda49e271:0x10f2b5cd3bb02e24,Fusion Street Tacos,Texas,4.7,75.0,81.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1152,0x8640cd8169624bc9:0x59cc2ee86739c552,Lan Hai Asian Restaurant,Texas,4.5,48.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1156,0x8644ca424cc90c7b:0xb6184c25583b62e4,The Hot Box Diner,Texas,3.9,17.0,45.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1172,0x864e9f2456a35acd:0xb703d6b5f7b67b2c,Uptown Thai,Texas,4.6,158.0,159.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
1187,0x8640d44b54218595:0x43c1c73028e8ad77,Mama Fu's Asian House - NOW CLOSED,Texas,3.5,54.0,4.0,34.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1208,0x864c210fd962b4f1:0xa805e7e97130ee61,Sushi Wasabi,Texas,4.0,6.0,61.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1228,0x8644c5507dd37a8f:0x402e60da572de496,Bamboo Bistro FM 685,Texas,3.3,28.0,26.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
